,datetime,ipsrc,ipdst,dstport,proto,action,policyid,is_ip_bad
99,2024-03-11 12:15:10,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
100,2024-03-11 12:15:10,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
101,2024-03-11 12:15:10,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
102,2024-03-11 12:15:10,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
103,2024-03-11 12:15:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
104,2024-03-11 12:15:44,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
105,2024-03-11 12:15:59,34.107.243.93,192.168.182.130,40794,TCP,Deny,34,False
106,2024-03-11 12:16:04,192.168.182.2,192.168.182.130,35181,UDP,Permit,6,False
107,2024-03-11 12:16:05,34.107.243.93,192.168.182.130,46280,TCP,Deny,34,False
108,2024-03-11 12:16:05,34.107.243.93,192.168.182.130,46280,TCP,Deny,34,False
109,2024-03-11 12:16:05,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
110,2024-03-11 12:16:05,192.168.182.2,192.168.182.130,52714,UDP,Permit,6,False
111,2024-03-11 12:16:30,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
112,2024-03-11 12:16:43,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
113,2024-03-11 12:16:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
114,2024-03-11 12:16:45,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
115,2024-03-11 12:17:04,34.149.100.209,192.168.182.130,44496,TCP,Deny,34,False
116,2024-03-11 12:17:04,34.160.144.191,192.168.182.130,33084,TCP,Deny,34,False
117,2024-03-11 12:17:04,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
118,2024-03-11 12:17:33,159.84.181.103,192.168.182.130,50148,TCP,Deny,34,False
119,2024-03-11 12:17:38,159.84.181.103,192.168.182.130,50148,TCP,Deny,34,False
120,2024-03-11 12:17:38,159.84.181.103,192.168.182.130,50148,TCP,Deny,34,False
121,2024-03-11 12:17:38,159.84.181.103,192.168.182.130,50148,TCP,Deny,34,False
122,2024-03-11 12:17:38,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
123,2024-03-11 12:17:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
124,2024-03-11 12:17:50,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
125,2024-03-11 12:17:52,34.117.237.239,192.168.182.130,48376,TCP,Deny,34,False
126,2024-03-11 12:17:52,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
127,2024-03-11 12:18:02,34.160.144.191,192.168.182.130,33084,TCP,Deny,34,False
128,2024-03-11 12:18:02,34.149.100.209,192.168.182.130,44496,TCP,Deny,34,False
129,2024-03-11 12:18:02,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
130,2024-03-11 12:18:02,34.160.144.191,192.168.182.130,33084,TCP,Deny,34,False
131,2024-03-11 12:18:30,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
132,2024-03-11 12:18:42,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
133,2024-03-11 12:18:42,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
134,2024-03-11 12:18:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
135,2024-03-11 12:18:55,34.160.144.191,192.168.182.130,33084,TCP,Deny,34,False
136,2024-03-11 12:18:55,34.160.144.191,192.168.182.130,33084,TCP,Deny,34,False
137,2024-03-11 12:18:55,34.149.100.209,192.168.182.130,44496,TCP,Deny,34,False
138,2024-03-11 12:19:10,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
139,2024-03-11 12:19:10,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
140,2024-03-11 12:19:10,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
141,2024-03-11 12:19:10,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
142,2024-03-11 12:19:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
143,2024-03-11 12:19:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
144,2024-03-11 12:19:50,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
145,2024-03-11 12:20:30,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
146,2024-03-11 12:20:30,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
147,2024-03-11 12:20:30,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
148,2024-03-11 12:20:30,192.168.182.254,192.168.182.130,68,UDP,Permit,6,False
149,2024-03-11 12:20:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
150,2024-03-11 12:20:59,172.217.20.174,192.168.182.130,33636,UDP,Permit,6,False
151,2024-03-11 12:21:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
152,2024-03-11 12:21:44,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
153,2024-03-11 12:21:50,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
154,2024-03-11 12:22:30,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
155,2024-03-11 12:22:30,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
156,2024-03-11 12:22:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
157,2024-03-11 12:22:45,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
158,2024-03-11 12:23:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
159,2024-03-11 12:23:44,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
160,2024-03-11 12:23:44,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
161,2024-03-11 12:23:44,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
162,2024-03-11 12:23:44,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
163,2024-03-11 12:24:43,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
164,2024-03-11 12:24:43,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
165,2024-03-11 12:24:43,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
166,2024-03-11 12:25:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
167,2024-03-11 12:25:50,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
168,2024-03-11 12:26:13,34.107.243.93,192.168.182.130,46280,TCP,Deny,34,False
169,2024-03-11 12:26:30,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
170,2024-03-11 12:26:43,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
171,2024-03-11 12:26:43,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
172,2024-03-11 12:26:43,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
173,2024-03-11 12:26:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
174,2024-03-11 12:26:45,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
175,2024-03-11 12:27:34,192.168.182.2,192.168.182.130,38868,UDP,Permit,6,False
176,2024-03-11 12:27:34,159.84.181.103,192.168.182.130,34704,TCP,Deny,34,False
177,2024-03-11 12:27:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
178,2024-03-11 12:27:44,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
179,2024-03-11 12:27:50,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
180,2024-03-11 12:28:30,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
181,2024-03-11 12:28:43,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
182,2024-03-11 12:28:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
183,2024-03-11 12:29:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
184,2024-03-11 12:29:50,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
185,2024-03-11 12:29:50,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
186,2024-03-11 12:29:50,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
187,2024-03-11 12:30:30,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
188,2024-03-11 12:30:30,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
189,2024-03-11 12:30:43,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
190,2024-03-11 12:30:43,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
191,2024-03-11 12:30:43,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
192,2024-03-11 12:30:43,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
193,2024-03-11 12:30:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
194,2024-03-11 12:30:45,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
195,2024-03-11 12:31:10,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
196,2024-03-11 12:31:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
197,2024-03-11 12:31:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
198,2024-03-11 12:31:50,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
199,2024-03-11 12:32:43,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
200,2024-03-11 12:32:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
201,2024-03-11 12:32:52,34.117.237.239,192.168.182.130,54120,TCP,Deny,34,False
202,2024-03-11 12:33:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
203,2024-03-11 12:33:44,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
204,2024-03-11 12:33:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
205,2024-03-11 12:33:50,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
206,2024-03-11 12:33:50,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
207,2024-03-11 12:33:51,34.117.237.239,192.168.182.130,54120,TCP,Deny,34,False
208,2024-03-11 12:33:51,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
209,2024-03-11 12:34:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
210,2024-03-11 12:34:46,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
